,{'max_depth': 5},{'max_depth': 7},{'max_depth': 9}
artificial.1,0.0,0.0,0.0
artificial.2,4.111950620762732e-05,4.035246898903136e-05,4.035246898903136e-05
artificial.3,4.1450700419085074e-05,5.381517323732008e-05,5.381517323732008e-05
artificial.4,6.069040943476111e-06,6.03434238086091e-06,6.03434238086091e-06
artificial.5,7.931345982368034e-06,7.931345982368034e-06,7.931345982368034e-06
artificial.6,4.5924792822763206e-05,4.511086023827465e-05,4.5110860238274663e-05
artificial.7,8.965731767127922e-06,8.947416941697443e-06,8.94063413090411e-06
artificial.8,1.4110679418786595e-05,1.3387712448410345e-05,1.3387712448410345e-05
artificial.9,3.3667942581190943e-05,3.373900583480424e-05,3.77565842923645e-05
artificial.10,0.0,0.0,0.0
artificial.11,5.427132924100102e-05,3.206100814575347e-05,3.206100814575347e-05
artificial.12,0.0,0.0,0.0
artificial.13,3.602481270248231e-05,2.471665838155747e-05,2.471665838155747e-05
artificial.14,9.011767498888941e-05,8.998190820913544e-05,8.998190820913544e-05
artificial.15,0.0,0.0,0.0
artificial.16,6.019730360879973e-05,6.014475034256075e-05,6.014475034256075e-05
artificial.17,2.0791266605150674e-05,1.7393257668629073e-05,1.7393257668629073e-05
artificial.18,3.522942527258285e-05,3.506854362018984e-05,3.506854362018984e-05
artificial.19,1.1489232979755411e-05,1.1489232979755411e-05,1.1489232979755411e-05
artificial.20,9.834123304825773e-06,9.850635441500697e-06,9.850635441500697e-06
artificial.21,0.0,0.0,0.0
artificial.22,0.0,0.0,0.0
artificial.23,7.57129980108057e-06,7.571872315204641e-06,7.571872315204642e-06
artificial.24,0.0,0.0,0.0
artificial.25,6.699359550793965e-05,6.699359550793965e-05,6.699359550793965e-05
artificial.26,1.587690441658171e-05,7.614953896611659e-06,7.614953896611659e-06
artificial.27,0.0,0.0,0.0
artificial.28,0.0,0.0,0.0
artificial.29,6.338324022344477e-06,1.6032623317998163e-05,1.6032623317998163e-05
artificial.30,0.0,0.0,0.0
artificial.31,2.3079512346064185e-05,2.3074329755196923e-05,2.3074329755196923e-05
artificial.32,1.5909066257983336e-05,1.5979899842440904e-05,1.5979899842440904e-05
artificial.33,3.4113998160420516e-06,3.4113998160420516e-06,3.4113998160420516e-06
artificial.34,8.595759166480992e-05,8.595759166480992e-05,8.595759166480992e-05
artificial.35,0.0,2.422400290639641e-06,2.422400290639641e-06
artificial.36,0.0,0.0,0.0
artificial.37,4.771752738052395e-06,4.771752738052395e-06,4.771752738052395e-06
artificial.38,0.0,0.0,0.0
artificial.39,6.280823470361808e-06,1.0510501599946379e-05,1.0510501599946379e-05
artificial.40,6.20380393993001e-06,2.9333318957018724e-05,2.9333318957018724e-05
artificial.41,2.622889883045867e-05,2.83249299370285e-05,2.83249299370285e-05
artificial.42,6.637762369867339e-05,6.60214632472693e-05,6.60214632472693e-05
artificial.43,0.0,0.0,0.0
artificial.44,3.527428933735118e-05,0.0,0.0
artificial.45,2.717843320896235e-05,7.651717148102925e-05,7.651717148102925e-05
artificial.46,0.0,0.0,0.0
artificial.47,0.0,0.0,0.0
artificial.48,0.0,0.0,0.0
artificial.49,1.7548565506878113e-05,1.7548565506878113e-05,1.7548565506878113e-05
artificial.50,0.0,0.0,0.0
artificial.51,5.48535407905523e-06,5.48535407905523e-06,5.48535407905523e-06
artificial.52,2.235210068336956e-05,2.235210068336956e-05,2.235210068336956e-05
artificial.53,0.0,0.0,0.0
artificial.54,0.0,0.0,0.0
artificial.55,0.0,0.0,0.0
artificial.56,8.531894841465787e-05,8.52863397806523e-05,8.52863397806523e-05
artificial.57,0.0,0.0,0.0
artificial.58,2.072738956720537e-05,2.0084075950282006e-05,2.0084075950282006e-05
artificial.59,0.0,0.0,0.0
artificial.60,4.5954035966054375e-05,4.946251242073345e-05,4.945526983203847e-05
artificial.61,7.73711250743309e-06,7.681540212227354e-06,7.681540212227354e-06
artificial.62,0.0,0.0,0.0
artificial.63,0.0,3.63487740969582e-05,3.63487740969582e-05
artificial.64,6.571839925178851e-07,6.561738753358196e-07,6.561738753358196e-07
artificial.65,0.0,0.0,0.0
