,{'max_depth': 5},{'max_depth': 7},{'max_depth': 9}
artificial.1,0.00024198969239755278,0.0006100281619395896,0.0007208833865432881
artificial.2,0.00024094683309810485,0.0006996475521880138,0.0009836524070804416
artificial.3,0.0,4.379017879702046e-05,2.6512563454203457e-05
artificial.4,7.118863434263136e-05,0.00011955231176294999,0.00017400793669293543
artificial.5,0.0003876177109803273,0.0007488599820442302,0.0016666948065999804
artificial.6,4.46546605789486e-05,7.122952815694143e-05,8.99896571203611e-05
artificial.7,0.0002732820788465505,0.0003721945788993454,0.0005816911374431107
artificial.8,0.00035269164276125067,0.0013105618648168213,0.001897759342035098
artificial.9,0.00045364599170365477,0.0012548699823207118,0.0019555968964319152
artificial.10,0.00016156665508615587,0.0004248420394412999,0.0007550613351215471
artificial.11,0.00026044710531019386,0.00149851242130279,0.0015960829558278686
artificial.12,0.0,2.5515350928053512e-05,3.9826527313041594e-05
artificial.13,0.0006619649409007244,0.0012357600656217568,0.0026368572422369747
artificial.14,0.0,4.509092822260257e-05,5.619894878381512e-05
artificial.15,0.0005478924156574428,0.0007824761746426474,0.0013299044137687985
artificial.16,0.0,0.00018567652545655838,0.00029576611050472493
artificial.17,0.0,0.0,0.0
artificial.18,0.00032461538921807405,0.00037139674701727016,0.0009009477737509225
artificial.19,0.0004675632146461279,0.0008757220160040834,0.0013961712446056154
artificial.20,0.0,0.0,0.0
artificial.21,0.00010426364335994376,0.0002735885310975593,0.00046253165452094284
artificial.22,0.0005094167223582606,0.0010003559662488746,0.0010505470044446235
artificial.23,1.1683364069458171e-05,4.9245581981923814e-05,0.00021337094252488022
artificial.24,0.0003359236073325792,0.0013032447423699306,0.0011344493373446432
artificial.25,0.0,0.0,0.0
artificial.26,0.00026190341668166553,0.0007716782984331841,0.0008986400117460236
artificial.27,0.00058592653402671,0.0017206470298722688,0.002070833170541701
artificial.28,0.00015858394768305032,0.0003726925213442527,0.000920128141564266
artificial.29,0.00023704162096809447,0.000996093988061586,0.001310189412224484
artificial.30,6.464863983718876e-05,0.0,5.5650718716064464e-05
artificial.31,0.00022844742883362814,0.0004315814121156879,0.000523787922150006
artificial.32,0.0,0.0,0.0
artificial.33,0.00037874628255741487,0.000995832011665068,0.0014774698635885873
artificial.34,4.6804616642684e-05,0.0002947921638361416,0.0006686589740457005
artificial.35,0.00036357032580459393,0.0011938129441362898,0.0016052299343020987
artificial.36,0.0,0.0,4.9927283772877834e-05
artificial.37,0.0,0.0,0.0
artificial.38,0.0,0.0,0.0
artificial.39,0.00027922535639677594,0.0003839769624516947,0.0007915140623723885
artificial.40,3.290557707803844e-05,0.0002982162125997254,0.00025704887153818923
artificial.41,9.237994844696236e-05,0.00022191492222310098,0.0008066707845253787
artificial.42,3.7982536289541526e-06,4.586241029241127e-05,0.0001101316124184659
artificial.43,0.0001806408698041356,0.0005205532459652963,0.0008063163087215204
artificial.44,0.000480589682391095,0.0008196783186885365,0.0017744906858330534
artificial.45,0.0,0.0,0.0
artificial.46,0.00012544047531792534,0.001262131404679679,0.00162683445090707
artificial.47,0.00013671045349314897,0.0005721533652756887,0.0008412942056436766
artificial.48,0.0,0.0,0.0
artificial.49,0.00023052870273202012,0.001167034186277008,0.001211000146694881
artificial.50,0.0005182417545955205,0.001160053034089729,0.0016506841885132126
artificial.51,6.8139367070013e-05,0.0002770605303813556,0.000509031018218443
artificial.52,0.0,0.0,0.0
artificial.53,0.0,0.0,3.0703323692951716e-05
artificial.54,0.00043986502425373135,0.0013063407338849446,0.0017186832057757282
artificial.55,0.00039049082923376673,0.0006283565327200241,0.00123081425072862
artificial.56,0.0,0.0,0.0
artificial.57,0.0003405927806514532,0.0008721587437326225,0.0012609350511879696
artificial.58,0.000278160818648282,0.0010150162564699975,0.001393251885980808
artificial.59,0.0002726775798284416,0.0010285915094052252,0.0020705038523850553
artificial.60,0.00029588862037363285,0.0011340039957198863,0.0011354983615636611
artificial.61,0.0005035568253962779,0.0006315310622710148,0.0012264872186128729
artificial.62,0.00026894159159879765,0.0006899070807394016,0.0011759187613758397
artificial.63,0.0003398929700378326,0.0014066887534851845,0.0017143954332137464
artificial.64,0.0,0.0,0.0
artificial.65,0.00023069906002727396,0.0014419586030449487,0.0020841387023346676
artificial.66,0.0005218687837943616,0.0007165307767306486,0.001522115273599711
artificial.67,4.080415621929237e-05,7.127904915800698e-05,2.1677571739797622e-05
artificial.68,3.40563051180495e-05,0.0003195161143696501,0.0006422667492476893
artificial.69,0.00018762386641768295,0.0014887266131281582,0.0025324903530955616
artificial.70,0.0003467047582242032,0.0008123471582102753,0.0013361871063926434
artificial.71,0.00037409074034234195,0.0007842461875025715,0.0014686909874849757
artificial.72,0.0005101638996786087,0.0016570400011467843,0.0016545977975944443
artificial.73,0.0,0.0,0.0
artificial.74,0.0,0.0,0.0
artificial.75,0.00037681836995561503,0.00042504729209256277,0.0013897902472426948
artificial.76,0.00010051542742409175,0.0006866521634225967,0.0013341817186685444
artificial.77,0.0005909002515130567,0.0010295005713689292,0.0017032749425165419
artificial.78,6.874806954486893e-05,0.0013418575125425877,0.0013292767125697394
artificial.79,0.00019288212990383185,0.0003251093151192906,0.0006870603653560451
artificial.80,7.412806917062616e-05,0.0002482999369004854,0.00037523923080708983
artificial.81,0.0005101424723646779,0.0013771905750203678,0.0023679208078902034
artificial.82,0.0002807923445564872,0.0003859830369623924,0.001013260169210281
artificial.83,0.0,0.0,0.0
artificial.84,0.00010159900523054935,0.0008725854395608582,0.0011742998628612113
artificial.85,0.0002785735625116914,0.0009772387824577443,0.0012124198705897064
artificial.86,0.0006660132445970865,0.001515137910923262,0.0018973136605799383
artificial.87,0.0001922566928671731,0.0004789506389797109,0.0007664700314604174
artificial.88,0.00011653674612213158,0.0011600106804041084,0.001312199220802096
artificial.89,0.00017077285650192252,0.001055902382664423,0.002194632074601654
artificial.90,0.00012579110146158828,0.00040992450170387163,0.00072153191687511
artificial.91,0.0,0.0,0.0
artificial.92,0.0009471837468207014,0.0010865952053374928,0.002099809901206215
artificial.93,0.0,8.807195695256351e-05,0.0001540346774394916
artificial.94,0.0005052469382423577,0.0011187110196014542,0.0015931296797951453
artificial.95,0.0,0.0,0.0
artificial.96,0.0003894171920100104,0.000911069217104719,0.00153303122304548
